,TY_US10Y,RX_BUND,G_GILT,OAT_FRANCE,ZINC,LEAD,AUDJPY,AUDUSD,BRENT_CRUDE,WTI_CRUDE,EURCHF,EURGBP,EURJPY,EURUSD,GBPJPY,GBPUSD,GOLD,COPPER,NAT_GAS,NZDUSD,PLATINUM,SILVER,USDCAD,USDCHF,USDJPY,USDNOK,USDSEK,ASX200,DOWJONES,CAC40,FTSE100,DAX,SP500,HANGSENG,NIKKEI225,NASDAQ100,RUSSELL2000,EUROSTOXX50,VIX
NZDUSD,0.012177438630197998,0.018196637663569947,0.017949754827160304,0.03912275057288936,0.11071905126514928,0.11542370703577551,0.4493439996668202,0.8202460837045288,0.023202534394304197,0.02998922771873253,0.10809433312621318,-0.08737921884095964,0.12625816988117278,0.550830368386707,0.14533095561562287,0.5326325017303455,0.05634262556561034,0.0795084617234696,0.015914734435406353,1.0,0.08414267716357544,0.060997602517486676,-0.6002072944477689,-0.38633712694629235,-0.3513343948898953,-0.6093339053097344,-0.5697464986676471,0.13920115990229878,0.1009556190934706,0.08359350030659048,0.08996592176572238,0.09361612504887074,0.08843712503531696,0.19791472697152368,0.16122587802559146,0.05359826182528115,0.06647729140145603,0.09031168008924662,-0.032581656786884565
PLATINUM,0.08840223010342955,0.037858535836777944,0.030820927810838238,0.039415064296265824,0.25270266373704187,0.2069616003498591,0.09075107927907707,0.10334135242123908,0.16202530933217607,0.11066866538973902,0.008058354260403343,-0.015047979979719498,0.01319033013890077,0.03286738264936158,0.04004383255330022,0.04045722174846884,0.5279176777455145,0.3434731561133007,0.018321481646722742,0.08414267716357544,1.0,0.5918474096885794,-0.11688361096275746,-0.01966741182020268,-0.009809083361418176,-0.11322017177921276,-0.061650553463865485,0.1395306103850409,0.211918462435976,0.25220222953715493,0.2476760883342199,0.23443681786472992,0.22721261059241885,0.1608749777287259,0.09394838447231371,0.1699967519336726,0.23841008081426393,0.23149672336284893,-0.1320389254429829
SILVER,0.17812695403703277,0.07009251499719485,0.08287870252810256,0.08532908920015789,0.24976439530918393,0.17790632596557746,0.07037189190815199,0.07783819852987699,0.12824255054639927,0.12036067312032873,0.0075789704976985135,-0.0210248569683845,0.017950296831270876,0.01180137905873613,0.03231598032709904,0.0401809832839262,0.6682787422876595,0.3442557246061523,0.015502565162934374,0.060997602517486676,0.5918474096885794,1.0,-0.07970432741790097,-0.013872982909856108,-0.0011966640943610921,-0.053042562357983096,-0.03545904071721424,0.06531467901114571,0.09634889290818578,0.12237192753231511,0.09922881175227627,0.10831305051759771,0.18163133831709752,0.10742929064799066,0.05267745376159752,0.151972206210749,0.18015493848926223,0.11488122971692179,-0.073707335772154
USDCAD,-0.009507737748649376,0.025630188862814367,-0.006975639504656093,0.0037150922446004702,-0.07605096147235055,-0.08840128427811132,-0.4562850986659787,-0.6662866600676011,-0.04340609059453066,-0.03240558356672927,-0.10211731425624364,0.08543940431108081,-0.22322165388553905,-0.4510086876268613,-0.23802116007951632,-0.44704528369036856,-0.06345088436549685,-0.08364419124405323,-0.0156480629925441,-0.6002072944477689,-0.11688361096275746,-0.07970432741790097,1.0,0.30301931684974126,0.16607115642050857,0.6271490910571755,0.5099685886896718,-0.2607256775865671,-0.05416442367910871,-0.1110116168040698,-0.1050433245036123,-0.09251269060398516,-0.06725983927753869,-0.22502829592233148,-0.222482161551949,-0.031246190893639905,-0.06656290312411639,-0.09447488682415155,0.025681304350152822
USDCHF,-0.04892832043148846,-0.03692299785902753,-0.0336356226159603,-0.042632904751756816,-0.03367271543299929,-0.04437412220092958,0.009087768225131661,-0.36340340725423387,0.01682568364884804,0.008371367303353949,0.5520618380079232,-0.1526273076668959,-0.1114525514077407,-0.6114370460826767,0.01713484116622204,-0.39168887460782287,-0.05473791242319089,-0.03617968205058775,-0.004228749692352292,-0.38633712694629235,-0.01966741182020268,-0.013872982909856108,0.30301931684974126,1.0,0.4236853856368764,0.43045710641252694,0.5022823100739884,0.01660812418073221,0.0014759815119482788,0.04676341479242793,0.03745185868905211,0.027843932124791516,0.0062003303792389055,-0.04951467228306875,0.06696941257092143,0.007916062631078065,0.002807763098138265,0.03909406281693835,-0.021624279458683886
USDJPY,-0.025592179016886513,-0.07808785106715217,-0.057484991500848306,-0.06955702905785467,-0.01684141225181696,-0.0023553409004105873,0.48972008950826634,-0.2869060864823388,0.011701615637947164,0.007177162160282342,0.07315855919085695,-0.11139412658271153,0.5807821890715877,-0.4157563064593375,0.5316200028884552,-0.28087612513669963,-0.05194912883406314,-0.0040690698139913785,0.02468027181340669,-0.3513343948898953,-0.009809083361418176,-0.0011966640943610921,0.16607115642050857,0.4236853856368764,1.0,0.2749459895635368,0.3397352628969674,0.0800923794578647,-0.011159081939585052,0.10803155856288675,0.06007711859527805,0.08806864874793154,0.013393270876760587,-0.004560526901070933,0.24864131121959812,0.011969217520444782,0.007522098084242408,0.10106908631712969,-0.01915950491343134
USDNOK,-0.02017596916523917,-0.009165652805321117,-0.02225686303979932,-0.025837330471023844,-0.09598309911538767,-0.1267385415722239,-0.34657665772685414,-0.6467584582880016,-0.0395815183314874,-0.030027534320602674,-0.14999024738910302,-0.0012966847756480028,-0.263906233349958,-0.6368407622346497,-0.224617782193168,-0.521753610451397,-0.07580601373670041,-0.07298460753936466,-0.024478896359171245,-0.6093339053097344,-0.11322017177921276,-0.053042562357983096,0.6271490910571755,0.43045710641252694,0.2749459895635368,1.0,0.7364751127113033,-0.23726013018329528,-0.09148339386351373,-0.1079083455550536,-0.09875595317540052,-0.09733448977292339,-0.0775931124169859,-0.20418043559643967,-0.18000809852367275,-0.04166754759119759,-0.059520178151030785,-0.0958814091202077,0.027969122078986473
USDSEK,-0.049387045669019095,-0.012924982499541764,-0.07144445691242161,-0.04094581925299049,-0.06507081733016579,-0.08095373973136757,-0.265670489843319,-0.5839462774335794,0.0022907548808490078,0.0050730943201845536,-0.1668007690432187,-0.09561532081904577,-0.3227821262219728,-0.7655532307494379,-0.2197009970870391,-0.5568760065944113,-0.052937434634947336,-0.058071643763886335,-0.011509126694276442,-0.5697464986676471,-0.061650553463865485,-0.03545904071721424,0.5099685886896718,0.5022823100739884,0.3397352628969674,0.7364751127113033,1.0,-0.15697413044711045,-0.028026559759739965,-0.038875785570184195,-0.026039379083386584,-0.03951971556399777,-0.022479848669118476,-0.162582311973715,-0.09608841587595139,-0.005255881310750974,-0.022156973367922283,-0.026995756823648118,0.009201046886641535
ASX200,-0.028176772377478964,0.0026404994218963266,0.021209553557271114,0.004383438889376209,0.10352901419702112,0.11568380818567528,0.2287766399014594,0.1955316323955908,0.12673890799814116,0.05613550813821335,0.06734805106873976,-0.1369353367553459,0.10546675593500628,0.047745919336865734,0.21524112249096744,0.13519947710030653,0.028243708376887926,0.11617428934802136,0.003950940534963052,0.13920115990229878,0.1395306103850409,0.06531467901114571,-0.2607256775865671,0.01660812418073221,0.0800923794578647,-0.23726013018329528,-0.15697413044711045,1.0,0.16030193612453608,0.31306177528011114,0.31173724924611634,0.2727567535588486,0.13777074453334012,0.3570321691614924,0.47772756929685867,0.12493383397865722,0.18361922127363337,0.27771733879908234,-0.10654749810128503
DOWJONES,-0.15888170672965238,-0.03410608840109465,-0.045314088149976055,0.023604881945522776,0.16096466587508926,0.12945885321454706,0.07175499950032622,0.14386984628429977,0.2107223599345603,0.17230676198893216,0.03763649773033824,-0.04768187018606219,-0.004200521915986883,0.023017965482563126,0.036303476018596036,0.07289525600668752,0.03957017030744146,0.24894378942045192,0.06337191192393032,0.1009556190934706,0.211918462435976,0.09634889290818578,-0.05416442367910871,0.0014759815119482788,-0.011159081939585052,-0.09148339386351373,-0.028026559759739965,0.16030193612453608,1.0,0.4921003093992484,0.5021887337572742,0.5069953783777276,0.8635517354487037,0.17778438247053088,0.1730846969773489,0.7063121485103193,0.7479663957874463,0.5043279094552747,-0.629559497447128
CAC40,-0.163948057012653,-0.1051410247451094,-0.07102748941962908,-0.007142221173281924,0.19482861749983005,0.1739553637407628,0.16212088066248673,0.10256101390878634,0.2137148215610973,0.14536884915501744,0.06248039677772367,-0.06656473080656881,0.06776153552964581,0.00045165790198017827,0.11259489603705862,0.039112196877800265,-0.005737421187104792,0.2725029121134908,0.030021408416954398,0.08359350030659048,0.25220222953715493,0.12237192753231511,-0.1110116168040698,0.04676341479242793,0.10803155856288675,-0.1079083455550536,-0.038875785570184195,0.31306177528011114,0.4921003093992484,1.0,0.7939274205774796,0.9025358497933005,0.4861911544453521,0.30980781209827357,0.2945539602311427,0.39727758325739787,0.4808776178067281,0.9466729228165611,-0.41224254739828886
FTSE100,-0.16678458780016125,-0.09031394681329176,-0.03756809570663477,-0.018126806028964704,0.20983513050943306,0.15345225795649983,0.13234176990634877,0.10539399372053995,0.2693778329702871,0.1790167146990239,0.0473200746234713,-0.030446210097826488,0.03638150115002269,-0.0037419747505008484,0.04380138666047494,0.0029619342893300754,0.05179591908914019,0.30630147651590245,0.024980359769561578,0.08996592176572238,0.2476760883342199,0.09922881175227627,-0.1050433245036123,0.03745185868905211,0.06007711859527805,-0.09875595317540052,-0.026039379083386584,0.31173724924611634,0.5021887337572742,0.7939274205774796,1.0,0.7787021233845202,0.4404918131035284,0.34119585004284847,0.2721171639607953,0.32048854315872116,0.4133007444867453,0.7955345947434111,-0.3720605125804559
DAX,-0.1617098886276574,-0.09647190151384671,-0.06993894811081518,0.0013326101508250809,0.1862766188289393,0.1439023923806364,0.14865773505863705,0.11351030124924405,0.18330940149999586,0.1228900238709544,0.06032800441302775,-0.07197028080206179,0.061597260704520006,0.012995638278687658,0.10231392008300375,0.059616116167273275,0.0281376869000768,0.27109472950782115,0.025425379529778965,0.09361612504887074,0.23443681786472992,0.10831305051759771,-0.09251269060398516,0.027843932124791516,0.08806864874793154,-0.09733448977292339,-0.03951971556399777,0.2727567535588486,0.5069953783777276,0.9025358497933005,0.7787021233845202,1.0,0.4735864526283117,0.2997526845146778,0.29035910256702735,0.4138572947168036,0.4649680047804665,0.9486356904269605,-0.4203692680061986
SP500,-0.08609094434786442,-0.030639189690531008,-0.035823578831647114,0.03212463416920358,0.1730041588423064,0.15027520701164593,0.06999030582862556,0.09386427968738546,0.1940711702629059,0.16417620338334174,0.03258134173199361,-0.04807570147020968,0.008447361686706373,0.012538481244104937,0.03697482921949811,0.06366452838139522,0.02266028601703301,0.2621412861107992,0.08012358724182128,0.08843712503531696,0.22721261059241885,0.18163133831709752,-0.06725983927753869,0.0062003303792389055,0.013393270876760587,-0.0775931124169859,-0.022479848669118476,0.13777074453334012,0.8635517354487037,0.4861911544453521,0.4404918131035284,0.4735864526283117,1.0,0.17112117527683737,0.16979400572304168,0.8803236838522039,0.831496584630541,0.47260219623972066,-0.6671244488297806
HANGSENG,-0.07888128084511485,-0.06960621362477457,-0.01393085557217614,-0.04008789010384167,0.22980371743393624,0.16968944132184624,0.2245727592014921,0.25608372134435553,0.09304578454964031,0.06191033885491892,0.08260078598492064,-0.04197742705023121,0.11969166341118727,0.15062813954681367,0.13897038740034645,0.1403354870217944,0.05093518939937642,0.2548649978277403,0.030962336380215488,0.19791472697152368,0.1608749777287259,0.10742929064799066,-0.22502829592233148,-0.04951467228306875,-0.004560526901070933,-0.20418043559643967,-0.162582311973715,0.3570321691614924,0.17778438247053088,0.30980781209827357,0.34119585004284847,0.2997526845146778,0.17112117527683737,1.0,0.334980439399836,0.15347737113024396,0.1393499229503379,0.3224677746354169,-0.18460638053713097
NIKKEI225,-0.0719045705828275,-0.049677652271569075,-0.024542630288861618,-0.021410088996630598,0.11112396518944143,0.08381596203515247,0.3926376195540747,0.2204061664558312,0.0874000609280998,0.039032637857629254,0.10014069655562688,-0.1538278206470125,0.25916051750621394,0.023914869593864907,0.3198594967187068,0.1394948354229192,-0.016643239607197182,0.11966825822660863,0.01226719687435839,0.16122587802559146,0.09394838447231371,0.05267745376159752,-0.222482161551949,0.06696941257092143,0.24864131121959812,-0.18000809852367275,-0.09608841587595139,0.47772756929685867,0.1730846969773489,0.2945539602311427,0.2721171639607953,0.29035910256702735,0.16979400572304168,0.334980439399836,1.0,0.1661782321031948,0.1608703037294002,0.3032336280038576,-0.14146660051748272
NASDAQ100,-0.05209921502822503,-0.013238213084549881,-0.024662698689421787,0.042088807241474645,0.15083414445874407,0.12970722954353223,0.022095259733889976,0.05086965717523699,0.14017581580400285,0.11680309444889027,0.029750190512246023,-0.025881700981851965,-0.009695297679216747,0.0028085851056156496,0.0061375317509883955,0.04837103190419991,0.0231602337768145,0.21085961334699851,0.050443541112490435,0.05359826182528115,0.1699967519336726,0.151972206210749,-0.031246190893639905,0.007916062631078065,0.011969217520444782,-0.04166754759119759,-0.005255881310750974,0.12493383397865722,0.7063121485103193,0.39727758325739787,0.32048854315872116,0.4138572947168036,0.8803236838522039,0.15347737113024396,0.1661782321031948,1.0,0.7226373120171311,0.41611493421590356,-0.6569144336781905
RUSSELL2000,-0.08754588015885371,-0.030316691323414142,-0.03685237579222797,0.036220605052661246,0.16526114512771564,0.16091445318398429,0.06389374841260828,0.08250304394025026,0.2111757040734989,0.15671009859036356,0.02816834672885383,-0.03400720819378692,0.003939016895230221,0.011979050777847495,0.03262947433256837,0.05310573877756549,0.02767576765425278,0.23296527749199814,0.059117853572907136,0.06647729140145603,0.23841008081426393,0.18015493848926223,-0.06656290312411639,0.002807763098138265,0.007522098084242408,-0.059520178151030785,-0.022156973367922283,0.18361922127363337,0.7479663957874463,0.4808776178067281,0.4133007444867453,0.4649680047804665,0.831496584630541,0.1393499229503379,0.1608703037294002,0.7226373120171311,1.0,0.4614039292128158,-0.5959438795708923
EUROSTOXX50,-0.16727685194187517,-0.10172057782974829,-0.06564853447545219,0.0010388905053246764,0.1941296003185052,0.15099618082231014,0.15141080224575507,0.1078919056874878,0.20765843209799645,0.14397161777711187,0.062652298526157,-0.060597903648152374,0.06238963429599987,0.002803740070692729,0.0950629370705088,0.04231556891179812,0.017469786111726237,0.266034073626579,0.023432083671899404,0.09031168008924662,0.23149672336284893,0.11488122971692179,-0.09447488682415155,0.03909406281693835,0.10106908631712969,-0.0958814091202077,-0.026995756823648118,0.27771733879908234,0.5043279094552747,0.9466729228165611,0.7955345947434111,0.9486356904269605,0.47260219623972066,0.3224677746354169,0.3032336280038576,0.41611493421590356,0.4614039292128158,1.0,-0.43058025472482125
VIX,0.15055239239603385,0.062233310807715346,0.04203681429766288,-0.006706248072977872,-0.17201580025741328,-0.1069718571689693,-0.02110791463917554,-0.048998665688656844,-0.18770783420426812,-0.16853576936881845,-0.050038450305227605,0.002308548107020934,-0.005327431019523525,-0.006053253503698176,-0.008508341119677512,-0.012380759709393287,0.02254753804714095,-0.2449609174626039,-0.03617087504556862,-0.032581656786884565,-0.1320389254429829,-0.073707335772154,0.025681304350152822,-0.021624279458683886,-0.01915950491343134,0.027969122078986473,0.009201046886641535,-0.10654749810128503,-0.629559497447128,-0.41224254739828886,-0.3720605125804559,-0.4203692680061986,-0.6671244488297806,-0.18460638053713097,-0.14146660051748272,-0.6569144336781905,-0.5959438795708923,-0.43058025472482125,1.0
