Leader,Follower,Cat_Leader,Cat_Follower,Best_AbsCorr,Lead_Days,Lag_Gain,Intra_Inter,Lag_Significant,Score_Lag,Granger_Significant,Score_Granger,VAR_Confirmed,Score_VAR,Score_Final,N_Methods,Robustesse
GOLD,USDNOK,Commodites,FX_G10,0.1653,1,0.1375,Inter,True,0.11355810315976546,True,1.0,False,0.0,0.3897453361059179,2,Modérée
FTSE100,GBPJPY,Indices,FX_G10,0.1762,1,0.1136,Inter,True,0.11057956951446277,True,1.0,False,0.0,0.38870284933006194,2,Modérée
COPPER,GBPJPY,Commodites,FX_G10,0.1644,1,0.1278,Inter,True,0.10302279079618182,True,1.0,False,0.0,0.3860579767786636,2,Modérée
EUROSTOXX50,NZDUSD,Indices,FX_G10,0.1804,1,0.0968,Inter,True,0.10242118666009689,True,1.0,False,0.0,0.3858474153310339,2,Modérée
VIX,USDNOK,Indices,FX_G10,0.1516,1,0.1478,Inter,True,0.09907091780034684,True,1.0,False,0.0,0.38467482123012137,2,Modérée
CAC40,EURJPY,Indices,FX_G10,0.1727,1,0.0991,Inter,True,0.09105635633392728,True,1.0,False,0.0,0.3818697247168745,2,Modérée
EUROSTOXX50,EURJPY,Indices,FX_G10,0.174,1,0.0953,Inter,True,0.08982414651549524,True,1.0,False,0.0,0.3814384512804233,2,Modérée
PLATINUM,AUDJPY,Commodites,FX_G10,0.1729,1,0.0969,Inter,True,0.08937485799008582,True,1.0,False,0.0,0.38128120029653,2,Modérée
FTSE100,EURJPY,Indices,FX_G10,0.1649,1,0.1101,Inter,True,0.08755143932879145,True,1.0,False,0.0,0.380643003765077,2,Modérée
DAX,NZDUSD,Indices,FX_G10,0.1744,1,0.0854,Inter,True,0.08138149156200683,True,1.0,False,0.0,0.3784835220467024,2,Modérée
PLATINUM,USDNOK,Commodites,FX_G10,0.1657,1,0.1009,Inter,True,0.08045601626136686,True,1.0,False,0.0,0.3781596056914784,2,Modérée
FTSE100,USDNOK,Indices,FX_G10,0.1724,1,0.0834,Inter,True,0.07603069347690708,True,1.0,False,0.0,0.37661074271691747,2,Modérée
CAC40,NZDUSD,Indices,FX_G10,0.1713,1,0.0848,Inter,True,0.07539669010546834,True,1.0,False,0.0,0.3763888415369139,2,Modérée
LEAD,NZDUSD,Commodites,FX_G10,0.1839,1,0.0595,Inter,True,0.0741032547190465,True,1.0,False,0.0,0.37593613915166624,2,Modérée
CAC40,USDJPY,Indices,FX_G10,0.1711,1,0.0824,Inter,True,0.07282974699063617,True,1.0,False,0.0,0.3754904114467226,2,Modérée
EUROSTOXX50,USDJPY,Indices,FX_G10,0.1718,1,0.0797,Inter,True,0.07156237393792317,True,1.0,False,0.0,0.37504683087827306,2,Modérée
LEAD,AUDJPY,Commodites,FX_G10,0.1722,1,0.0773,Inter,True,0.07004652571053305,True,1.0,False,0.0,0.3745162839986865,2,Modérée
LEAD,USDSEK,Commodites,FX_G10,0.1621,1,0.0781,Inter,True,0.053091954489375565,True,1.0,False,0.0,0.3685821840712814,2,Modérée
FTSE100,NZDUSD,Indices,FX_G10,0.159,1,0.0719,Inter,True,0.041935137344016986,True,1.0,False,0.0,0.36467729807040594,2,Modérée
ZINC,GBPUSD,Commodites,FX_G10,0.1577,1,0.0737,Inter,True,0.04132019870215613,True,1.0,False,0.0,0.3644620695457546,2,Modérée
FTSE100,USDJPY,Indices,FX_G10,0.1544,1,0.0788,Inter,True,0.040249405394971675,True,1.0,False,0.0,0.36408729188824007,2,Modérée
LEAD,EURUSD,Commodites,FX_G10,0.1527,1,0.0802,Inter,True,0.03856430713609086,True,1.0,False,0.0,0.36349750749763177,2,Modérée
DAX,USDJPY,Indices,FX_G10,0.1561,1,0.0667,Inter,True,0.032052259391285476,True,1.0,False,0.0,0.3612182907869499,2,Modérée
DAX,EURJPY,Indices,FX_G10,0.1513,1,0.0706,Inter,True,0.027245439789320154,True,1.0,False,0.0,0.35953590392626206,2,Modérée
WTI_CRUDE,ASX200,Commodites,Indices,0.1573,1,0.0426,Inter,True,0.011896310219640265,True,1.0,False,0.0,0.35416370857687407,2,Modérée
WTI_CRUDE,USDJPY,Commodites,FX_G10,0.1035,1,0.1013,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
BRENT_CRUDE,NZDUSD,Commodites,FX_G10,0.1411,1,0.1274,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
BRENT_CRUDE,USDJPY,Commodites,FX_G10,0.1134,1,0.107,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
BRENT_CRUDE,USDSEK,Commodites,FX_G10,0.1097,1,0.102,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
COPPER,EURJPY,Commodites,FX_G10,0.1329,1,0.0888,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
GOLD,EURJPY,Commodites,FX_G10,0.1072,1,0.1031,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
OAT_FRANCE,AUDJPY,Bonds,FX_G10,0.1333,1,0.1031,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
SILVER,ASX200,Commodites,Indices,0.1092,1,0.0119,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
NAT_GAS,AUDJPY,Commodites,FX_G10,0.0888,1,0.0573,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
BRENT_CRUDE,GBPUSD,Commodites,FX_G10,0.1239,1,0.1236,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
VIX,EURGBP,Indices,FX_G10,0.1439,1,0.1319,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
BRENT_CRUDE,NIKKEI225,Commodites,Indices,0.1412,1,0.0497,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
SILVER,AUDJPY,Commodites,FX_G10,0.1395,1,0.0852,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
WTI_CRUDE,EURGBP,Commodites,FX_G10,0.0965,1,0.0944,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
WTI_CRUDE,HANGSENG,Commodites,Indices,0.1088,1,0.0044,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
SP500,EURCHF,Indices,FX_G10,0.1206,1,0.1113,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
BRENT_CRUDE,EURGBP,Commodites,FX_G10,0.1005,1,0.0803,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
VIX,EURCHF,Indices,FX_G10,0.1183,1,0.0962,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
WTI_CRUDE,EURJPY,Commodites,FX_G10,0.1145,1,0.0919,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
RUSSELL2000,EURCHF,Indices,FX_G10,0.1202,1,0.1105,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
G_GILT,USDCHF,Bonds,FX_G10,0.1102,1,0.068,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
WTI_CRUDE,USDSEK,Commodites,FX_G10,0.125,1,0.0963,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
WTI_CRUDE,NIKKEI225,Commodites,Indices,0.1309,1,0.054,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
OAT_FRANCE,ASX200,Bonds,Indices,0.0692,2,0.054,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
OAT_FRANCE,EURCHF,Bonds,FX_G10,0.0943,1,0.0789,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
NASDAQ100,EURCHF,Indices,FX_G10,0.1092,1,0.1045,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
WTI_CRUDE,GBPUSD,Commodites,FX_G10,0.1206,1,0.102,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
G_GILT,NZDUSD,Bonds,FX_G10,0.0941,1,0.0364,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
WTI_CRUDE,NZDUSD,Commodites,FX_G10,0.1361,1,0.1346,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
DOWJONES,EURCHF,Indices,FX_G10,0.1148,1,0.0986,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
BRENT_CRUDE,EURJPY,Commodites,FX_G10,0.124,1,0.111,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
RUSSELL2000,LEAD,Indices,Commodites,0.1378,1,0.0293,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
RUSSELL2000,USDJPY,Indices,FX_G10,0.1493,1,0.1369,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
NASDAQ100,USDJPY,Indices,FX_G10,0.1497,1,0.1356,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
RUSSELL2000,EURUSD,Indices,FX_G10,0.084,1,0.0589,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
LEAD,EURJPY,Commodites,FX_G10,0.1084,1,0.0619,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
LEAD,GBPJPY,Commodites,FX_G10,0.0989,1,0.0332,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
LEAD,GBPUSD,Commodites,FX_G10,0.149,1,0.0576,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
CAC40,USDNOK,Indices,FX_G10,0.1262,1,0.0142,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
DOWJONES,EURUSD,Indices,FX_G10,0.0758,2,0.0499,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
COPPER,USDCHF,Commodites,FX_G10,0.1418,1,0.0897,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
DAX,USDNOK,Indices,FX_G10,0.1219,1,0.0334,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
GOLD,GBPJPY,Commodites,FX_G10,0.1044,1,0.0899,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
LEAD,USDCHF,Commodites,FX_G10,0.1133,1,0.0374,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
ZINC,USDNOK,Commodites,FX_G10,0.1413,1,0.0719,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
ZINC,USDCHF,Commodites,FX_G10,0.1032,1,0.0482,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
EUROSTOXX50,USDNOK,Indices,FX_G10,0.1403,1,0.0489,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
ZINC,GBPJPY,Commodites,FX_G10,0.1237,1,0.0705,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
ZINC,EURUSD,Commodites,FX_G10,0.1413,1,0.0846,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
ZINC,EURJPY,Commodites,FX_G10,0.1143,1,0.0859,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
TY_US10Y,NIKKEI225,Bonds,Indices,0.1342,1,0.0525,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
ASX200,LEAD,Indices,Commodites,0.0996,1,0.0103,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
DOWJONES,LEAD,Indices,Commodites,0.1264,1,0.0342,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
TY_US10Y,USDNOK,Bonds,FX_G10,0.0994,4,0.0813,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
TY_US10Y,GBPUSD,Bonds,FX_G10,0.1401,1,0.1297,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
SP500,LEAD,Indices,Commodites,0.1327,1,0.0341,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
TY_US10Y,EURCHF,Bonds,FX_G10,0.1346,1,0.1294,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
NASDAQ100,LEAD,Indices,Commodites,0.1256,1,0.0357,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
TY_US10Y,AUDUSD,Bonds,FX_G10,0.1456,1,0.1398,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
FTSE100,GBPUSD,Indices,FX_G10,0.075,2,0.0744,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
COPPER,ASX200,Commodites,Indices,0.1437,1,0.002,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
RX_BUND,EURCHF,Bonds,FX_G10,0.1331,1,0.105,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
SP500,EURUSD,Indices,FX_G10,0.082,1,0.063,Inter,False,0.0,True,1.0,False,0.0,0.35,1,Faible
USDNOK,NIKKEI225,FX_G10,Indices,0.0906,3,0.0109,Inter,False,0.0,True,0.5999956572723137,False,0.0,0.2099984800453098,1,Faible
OAT_FRANCE,NZDUSD,Bonds,FX_G10,0.0901,1,0.0453,Inter,False,0.0,True,0.5999956572723137,False,0.0,0.2099984800453098,1,Faible
DOWJONES,USDCHF,Indices,FX_G10,0.093,2,0.0874,Inter,False,0.0,True,0.5999956572723137,False,0.0,0.2099984800453098,1,Faible
SP500,USDCHF,Indices,FX_G10,0.0968,2,0.0912,Inter,False,0.0,True,0.5999956572723137,False,0.0,0.2099984800453098,1,Faible
EURGBP,USDNOK,FX_G10,FX_G10,0.0939,2,0.0717,Intra,False,0.0,True,0.5999956572723137,False,0.0,0.2099984800453098,1,Faible
EURGBP,G_GILT,FX_G10,Bonds,0.0783,3,0.0165,Inter,False,0.0,True,0.5698948290154774,False,0.0,0.19946319015541708,1,Faible
HANGSENG,EURGBP,Indices,FX_G10,0.0747,1,0.0095,Inter,False,0.0,True,0.5522864269038876,False,0.0,0.19330024941636065,1,Faible
RX_BUND,USDNOK,Bonds,FX_G10,0.0903,1,0.0538,Inter,False,0.0,True,0.5522864269038876,False,0.0,0.19330024941636065,1,Faible
RUSSELL2000,USDCHF,Indices,FX_G10,0.09,2,0.0788,Inter,False,0.0,True,0.5397929151445704,False,0.0,0.18892752030059962,1,Faible
NASDAQ100,EURUSD,Indices,FX_G10,0.0656,1,0.0526,Inter,False,0.0,True,0.5301021309861201,False,0.0,0.18553574584514204,1,Faible
COPPER,EURGBP,Commodites,FX_G10,0.0837,1,0.0789,Inter,False,0.0,True,0.5096904584360962,False,0.0,0.17839166045263366,1,Faible
NAT_GAS,NIKKEI225,Commodites,Indices,0.0805,1,0.0771,Inter,False,0.0,True,0.47958773030120455,False,0.0,0.1678557056054216,1,Faible
OAT_FRANCE,EURGBP,Bonds,FX_G10,0.0689,1,0.0357,Inter,False,0.0,True,0.4657575345116453,False,0.0,0.16301513707907586,1,Faible
RX_BUND,ASX200,Bonds,Indices,0.0624,3,0.0592,Inter,False,0.0,True,0.4552840417608829,False,0.0,0.159349414616309,1,Faible
GOLD,EURCHF,Commodites,FX_G10,0.0779,1,0.061,Inter,False,0.0,True,0.4508636905218045,False,0.0,0.15780229168263157,1,Faible
NAT_GAS,AUDUSD,Commodites,FX_G10,0.0713,1,0.0594,Inter,False,0.0,True,0.445593071481012,False,0.0,0.1559575750183542,1,Faible
NASDAQ100,USDCHF,Indices,FX_G10,0.0795,2,0.0746,Inter,False,0.0,True,0.43279012180344534,False,0.0,0.15147654263120586,1,Faible
PLATINUM,GBPJPY,Commodites,FX_G10,0.072,1,0.0521,Inter,False,0.0,True,0.4267605435928735,False,0.0,0.14936619025750572,1,Faible
G_GILT,ASX200,Bonds,Indices,0.06,3,0.0415,Inter,False,0.0,True,0.42218480257928237,False,0.0,0.14776468090274883,1,Faible
VIX,USDCHF,Indices,FX_G10,0.0753,1,0.0528,Inter,False,0.0,True,0.4187085975212302,False,0.0,0.14654800913243055,1,Faible
GOLD,HANGSENG,Commodites,Indices,0.0727,1,0.0286,Inter,False,0.0,True,0.41191858362794764,False,0.0,0.14417150426978168,1,Faible
FTSE100,EURGBP,Indices,FX_G10,0.0482,1,0.0308,Inter,False,0.0,True,0.39586069200287893,False,0.0,0.13855124220100762,1,Faible
NAT_GAS,GBPJPY,Commodites,FX_G10,0.0706,1,0.0422,Inter,False,0.0,True,0.3917214270762639,False,0.0,0.13710249947669234,1,Faible
RX_BUND,NZDUSD,Bonds,FX_G10,0.0713,1,0.0306,Inter,False,0.0,True,0.3910094535475801,False,0.0,0.13685330874165302,1,Faible
EURUSD,DAX,FX_G10,Indices,0.0643,2,0.0548,Inter,False,0.0,True,0.3798602602538451,False,0.0,0.13295109108884579,1,Faible
NAT_GAS,USDCAD,Commodites,FX_G10,0.071,1,0.0521,Inter,False,0.0,True,0.3798602602538451,False,0.0,0.13295109108884579,1,Faible
G_GILT,EURCHF,Bonds,FX_G10,0.0697,1,0.0685,Inter,False,0.0,True,0.36903696196847013,False,0.0,0.12916293668896453,1,Faible
NAT_GAS,ZINC,Commodites,Commodites,0.0689,1,0.0337,Intra,False,0.0,True,0.36179827772199896,False,0.0,0.12662939720269964,1,Faible
EURUSD,FTSE100,FX_G10,Indices,0.0604,2,0.0366,Inter,False,0.0,True,0.3525783590187366,False,0.0,0.12340242565655779,1,Faible
EUROSTOXX50,EURCHF,Indices,FX_G10,0.0593,1,0.0159,Inter,False,0.0,True,0.33925448695521393,False,0.0,0.11873907043432487,1,Faible
BRENT_CRUDE,EURCHF,Commodites,FX_G10,0.0595,1,0.0566,Inter,False,0.0,True,0.3312470949607863,False,0.0,0.1159364832362752,1,Faible
NAT_GAS,USDNOK,Commodites,FX_G10,0.0555,1,0.0416,Inter,False,0.0,True,0.33115800890025276,False,0.0,0.11590530311508845,1,Faible
BRENT_CRUDE,USDCHF,Commodites,FX_G10,0.0556,2,0.0324,Inter,False,0.0,True,0.3289882550230398,False,0.0,0.11514588925806392,1,Faible
SP500,RX_BUND,Indices,Bonds,0.0682,2,0.045,Inter,False,0.0,True,0.3216811237377058,False,0.0,0.11258839330819702,1,Faible
DOWJONES,RX_BUND,Indices,Bonds,0.0666,2,0.0274,Inter,False,0.0,True,0.3216096349297258,False,0.0,0.11256337222540401,1,Faible
NAT_GAS,HANGSENG,Commodites,Indices,0.0639,1,0.036,Inter,False,0.0,True,0.31817740403838485,False,0.0,0.11136209141343469,1,Faible
WTI_CRUDE,USDCHF,Commodites,FX_G10,0.0589,2,0.0559,Inter,False,0.0,True,0.3158640466966694,False,0.0,0.11055241634383428,1,Faible
RUSSELL2000,RX_BUND,Indices,Bonds,0.0553,2,0.0374,Inter,False,0.0,True,0.3154901897943679,False,0.0,0.11042156642802875,1,Faible
RX_BUND,EURUSD,Bonds,FX_G10,0.0631,1,0.0367,Inter,False,0.0,True,0.3098541624112739,False,0.0,0.10844895684394586,1,Faible
EURUSD,CAC40,FX_G10,Indices,0.0551,2,0.0374,Inter,False,0.0,True,0.29812994597346704,False,0.0,0.10434548109071345,1,Faible
G_GILT,EURUSD,Bonds,FX_G10,0.0609,1,0.0104,Inter,False,0.0,True,0.295900226805927,False,0.0,0.10356507938207443,1,Faible
USDNOK,OAT_FRANCE,FX_G10,Bonds,0.0631,3,0.0288,Inter,False,0.0,True,0.29570308872685536,False,0.0,0.10349608105439936,1,Faible
G_GILT,SP500,Bonds,Indices,0.059,3,0.0214,Inter,False,0.0,True,0.2946921518083442,False,0.0,0.10314225313292046,1,Faible
WTI_CRUDE,EURCHF,Commodites,FX_G10,0.0599,1,0.038,Inter,False,0.0,True,0.28230409905179177,False,0.0,0.09880643466812711,1,Faible
OAT_FRANCE,AUDUSD,Bonds,FX_G10,0.0582,1,0.0329,Inter,False,0.0,True,0.27609508818139916,False,0.0,0.0966332808634897,1,Faible
RX_BUND,USDSEK,Bonds,FX_G10,0.0597,1,0.0213,Inter,False,0.0,True,0.27354182471461275,False,0.0,0.09573963865011445,1,Faible
DAX,EURCHF,Indices,FX_G10,0.0577,1,0.0128,Inter,False,0.0,True,0.27281583702391976,False,0.0,0.09548554295837192,1,Faible
HANGSENG,USDCHF,Indices,FX_G10,0.0591,1,0.0172,Inter,False,0.0,True,0.27260731967864105,False,0.0,0.09541256188752437,1,Faible
OAT_FRANCE,GBPUSD,Bonds,FX_G10,0.0585,2,0.0167,Inter,False,0.0,True,0.2712198247683461,False,0.0,0.09492693866892113,1,Faible
NASDAQ100,RX_BUND,Indices,Bonds,0.0613,2,0.0571,Inter,False,0.0,True,0.2641113776587808,False,0.0,0.09243898218057327,1,Faible
RX_BUND,EURGBP,Bonds,FX_G10,0.0489,1,0.002,Inter,False,0.0,True,0.25907433310361305,False,0.0,0.09067601658626456,1,Faible
RUSSELL2000,G_GILT,Indices,Bonds,0.0476,1,0.0196,Inter,False,0.0,True,0.25782315823487567,False,0.0,0.09023810538220647,1,Faible
SP500,GOLD,Indices,Commodites,0.0505,2,0.0176,Inter,False,0.0,True,0.2566550190230498,False,0.0,0.08982925665806743,1,Faible
RX_BUND,USDCHF,Bonds,FX_G10,0.0567,1,0.0106,Inter,False,0.0,True,0.2537901603878837,False,0.0,0.0888265561357593,1,Faible
G_GILT,NIKKEI225,Bonds,Indices,0.0452,2,0.0095,Inter,False,0.0,True,0.25334289127811843,False,0.0,0.08867001194734145,1,Faible
ZINC,EURGBP,Commodites,FX_G10,0.0497,1,0.0137,Inter,False,0.0,True,0.2519849260350868,False,0.0,0.08819472411228038,1,Faible
NAT_GAS,RX_BUND,Commodites,Bonds,0.0556,1,0.0373,Inter,False,0.0,True,0.25045944229741496,False,0.0,0.08766080480409523,1,Faible
G_GILT,USDNOK,Bonds,FX_G10,0.0647,3,0.0275,Inter,False,0.0,True,0.25040395912563584,False,0.0,0.08764138569397253,1,Faible
DOWJONES,GOLD,Indices,Commodites,0.0506,2,0.0292,Inter,False,0.0,True,0.2470441314148867,False,0.0,0.08646544599521035,1,Faible
TY_US10Y,EURGBP,Bonds,FX_G10,0.0502,1,0.0409,Inter,False,0.0,True,0.2453580720823391,False,0.0,0.08587532522881867,1,Faible
DAX,OAT_FRANCE,Indices,Bonds,0.0603,2,0.0403,Inter,False,0.0,True,0.24112802092039015,False,0.0,0.08439480732213654,1,Faible
EURUSD,EUROSTOXX50,FX_G10,Indices,0.0531,2,0.038,Inter,False,0.0,True,0.24047242771696,False,0.0,0.084165349700936,1,Faible
CAC40,OAT_FRANCE,Indices,Bonds,0.0599,2,0.0339,Inter,False,0.0,True,0.23816380584327543,False,0.0,0.08335733204514639,1,Faible
CAC40,EURCHF,Indices,FX_G10,0.0474,1,0.0038,Inter,False,0.0,True,0.23726341331644735,False,0.0,0.08304219466075656,1,Faible
G_GILT,NASDAQ100,Bonds,Indices,0.0563,3,0.0433,Inter,False,0.0,True,0.2363010888169444,False,0.0,0.08270538108593053,1,Faible
G_GILT,AUDUSD,Bonds,FX_G10,0.0522,1,0.0004,Inter,False,0.0,True,0.23578323556954772,False,0.0,0.0825241324493417,1,Faible
NAT_GAS,GBPUSD,Commodites,FX_G10,0.0536,1,0.0484,Inter,False,0.0,True,0.23571399375317018,False,0.0,0.08249989781360956,1,Faible
VIX,GOLD,Indices,Commodites,0.0543,1,0.0246,Inter,False,0.0,True,0.23441894959113202,False,0.0,0.0820466323568962,1,Faible
OAT_FRANCE,SP500,Bonds,Indices,0.0518,2,0.0176,Inter,False,0.0,True,0.2334982165195346,False,0.0,0.0817243757818371,1,Faible
NASDAQ100,GOLD,Indices,Commodites,0.046,2,0.0102,Inter,False,0.0,True,0.2277530605887578,False,0.0,0.07971357120606523,1,Faible
OAT_FRANCE,ZINC,Bonds,Commodites,0.0519,1,0.0226,Inter,False,0.0,True,0.22501864069807773,False,0.0,0.0787565242443272,1,Faible
TY_US10Y,USDCAD,Bonds,FX_G10,0.0519,1,0.0475,Inter,False,0.0,True,0.22458046041614388,False,0.0,0.07860316114565036,1,Faible
NAT_GAS,NZDUSD,Commodites,FX_G10,0.0512,1,0.0387,Inter,False,0.0,True,0.22245351833711066,False,0.0,0.07785873141798873,1,Faible
COPPER,EURCHF,Commodites,FX_G10,0.0414,2,0.0377,Inter,False,0.0,True,0.21608363107957848,False,0.0,0.07562927087785247,1,Faible
DAX,NAT_GAS,Indices,Commodites,0.0471,4,0.0081,Inter,False,0.0,True,0.2158828299239916,False,0.0,0.07555899047339705,1,Faible
NAT_GAS,EURJPY,Commodites,FX_G10,0.0493,1,0.0122,Inter,False,0.0,True,0.21545918541784284,False,0.0,0.07541071489624498,1,Faible
USDCHF,DAX,FX_G10,Indices,0.0535,2,0.0071,Inter,False,0.0,True,0.21463017821412697,False,0.0,0.07512056237494444,1,Faible
COPPER,USDJPY,Commodites,FX_G10,0.0502,1,0.0401,Inter,False,0.0,True,0.21343631063827467,False,0.0,0.07470270872339613,1,Faible
GOLD,ASX200,Commodites,Indices,0.0417,1,0.0099,Inter,False,0.0,True,0.20711946239901455,False,0.0,0.07249181183965508,1,Faible
RX_BUND,LEAD,Bonds,Commodites,0.0489,1,0.0133,Inter,False,0.0,True,0.20626325774660245,False,0.0,0.07219214021131086,1,Faible
OAT_FRANCE,USDCHF,Bonds,FX_G10,0.0499,1,0.0103,Inter,False,0.0,True,0.20588862679893016,False,0.0,0.07206101937962556,1,Faible
OAT_FRANCE,LEAD,Bonds,Commodites,0.0486,1,0.0321,Inter,False,0.0,True,0.2028260404477275,False,0.0,0.07098911415670463,1,Faible
OAT_FRANCE,DOWJONES,Bonds,Indices,0.0492,2,0.0336,Inter,False,0.0,True,0.2021682498687975,False,0.0,0.07075888745407911,1,Faible
FTSE100,GOLD,Indices,Commodites,0.0443,2,0.0407,Inter,False,0.0,True,0.2019632969271445,False,0.0,0.07068715392450056,1,Faible
PLATINUM,EURGBP,Commodites,FX_G10,0.0442,1,0.0243,Inter,False,0.0,True,0.19518690690836848,False,0.0,0.06831541741792896,1,Faible
EUROSTOXX50,OAT_FRANCE,Indices,Bonds,0.0528,2,0.0235,Inter,False,0.0,True,0.19277868737189613,False,0.0,0.06747254058016364,1,Faible
