Asset1,Asset2,Optimal_Lag,Impact_A1_on_A2,Impact_A2_on_A1,VAR_Leader,VAR_Follower,GC_pval_A1→A2,GC_pval_A2→A1,Bidirectional,Leader_Confirmed,Frequency
TY_US10Y,USDJPY,3,0.959102,0.044508,TY_US10Y,USDJPY,0.0,0.159594,False,True,Daily
SP500,AUDJPY,4,0.379218,0.187943,SP500,AUDJPY,0.0,0.009945,True,True,Daily
DOWJONES,AUDJPY,5,0.380099,0.201539,DOWJONES,AUDJPY,0.0,0.044627,True,True,Daily
RUSSELL2000,AUDJPY,4,0.28858,0.189178,RUSSELL2000,AUDJPY,0.0,0.046331,True,True,Daily
NASDAQ100,AUDJPY,2,0.256744,0.134138,NASDAQ100,AUDJPY,0.0,0.035856,True,True,Daily
VIX,AUDJPY,4,0.055145,1.300985,AUDJPY,VIX,0.0,0.041457,True,False,Daily
SP500,NIKKEI225,5,0.851757,0.143161,SP500,NIKKEI225,0.0,0.002486,True,True,Daily
NASDAQ100,NIKKEI225,2,0.565952,0.086326,NASDAQ100,NIKKEI225,0.0,0.001947,True,True,Daily
SP500,AUDUSD,4,0.374725,0.239117,SP500,AUDUSD,0.0,0.003923,True,True,Daily
RUSSELL2000,NIKKEI225,5,0.632277,0.122974,RUSSELL2000,NIKKEI225,0.0,0.091315,False,True,Daily
VIX,NIKKEI225,5,0.127327,0.691539,NIKKEI225,VIX,0.0,0.175008,False,False,Daily
SP500,USDCAD,5,0.228156,0.339868,USDCAD,SP500,0.0,0.008347,True,False,Daily
RUSSELL2000,AUDUSD,4,0.274012,0.259429,RUSSELL2000,AUDUSD,0.0,0.016288,True,True,Daily
DOWJONES,NIKKEI225,5,0.780027,0.122019,DOWJONES,NIKKEI225,0.0,0.003912,True,True,Daily
RUSSELL2000,USDCAD,5,0.177032,0.431423,USDCAD,RUSSELL2000,0.0,0.011123,True,False,Daily
DOWJONES,USDCAD,5,0.2324,0.323753,USDCAD,DOWJONES,0.0,0.015962,True,False,Daily
DOWJONES,AUDUSD,4,0.363509,0.219548,DOWJONES,AUDUSD,0.0,0.004341,True,True,Daily
NASDAQ100,AUDUSD,2,0.227273,0.16103,NASDAQ100,AUDUSD,0.0,0.019492,True,True,Daily
COPPER,AUDUSD,2,0.193851,0.120421,COPPER,AUDUSD,0.0,0.117756,False,True,Daily
GOLD,USDJPY,2,0.243546,0.08718,GOLD,USDJPY,0.0,0.086448,False,True,Daily
PLATINUM,AUDUSD,2,0.158378,0.136861,PLATINUM,AUDUSD,0.0,0.132486,False,True,Daily
VIX,ASX200,5,0.084395,0.881196,ASX200,VIX,0.0,0.145499,False,False,Daily
SILVER,AUDUSD,3,0.171498,0.184297,AUDUSD,SILVER,0.0,0.262648,False,False,Daily
SP500,GBPJPY,5,0.24875,0.189926,SP500,GBPJPY,0.0,0.111157,False,True,Daily
DOWJONES,GBPJPY,5,0.246042,0.156192,DOWJONES,GBPJPY,0.0,0.25475,False,True,Daily
RUSSELL2000,ASX200,5,0.59788,0.203696,RUSSELL2000,ASX200,0.0,0.002711,True,True,Daily
EUROSTOXX50,AUDJPY,3,0.282808,0.149946,EUROSTOXX50,AUDJPY,0.0,0.032696,True,True,Daily
BRENT_CRUDE,USDCAD,5,0.088013,0.614573,USDCAD,BRENT_CRUDE,0.0,0.016891,True,False,Daily
CAC40,AUDJPY,3,0.285816,0.144331,CAC40,AUDJPY,0.0,0.018992,True,True,Daily
RUSSELL2000,GBPJPY,2,0.166144,0.058295,RUSSELL2000,GBPJPY,0.0,0.533762,False,True,Daily
GOLD,NZDUSD,2,0.261442,0.061513,GOLD,NZDUSD,0.0,0.203368,False,True,Daily
NASDAQ100,USDCAD,4,0.147887,0.288906,USDCAD,NASDAQ100,0.0,0.073507,False,False,Daily
SP500,ASX200,5,0.7761,0.196978,SP500,ASX200,0.0,0.004612,True,True,Daily
GOLD,AUDUSD,2,0.25718,0.068657,GOLD,AUDUSD,0.0,0.154144,False,True,Daily
DAX,AUDJPY,3,0.264753,0.131204,DAX,AUDJPY,0.0,0.117998,False,True,Daily
SILVER,NZDUSD,2,0.144268,0.127509,SILVER,NZDUSD,0.0,0.18748,False,True,Daily
RX_BUND,EURJPY,1,0.44219,0.006198,RX_BUND,EURJPY,0.0,0.652257,False,True,Daily
FTSE100,AUDJPY,4,0.350236,0.139351,FTSE100,AUDJPY,0.0,0.020021,True,True,Daily
SP500,NZDUSD,4,0.28053,0.130316,SP500,NZDUSD,0.0,0.103231,False,True,Daily
WTI_CRUDE,USDCAD,5,0.063086,0.734708,USDCAD,WTI_CRUDE,0.0,0.005079,True,False,Daily
VIX,USDCAD,4,0.022241,1.15152,USDCAD,VIX,0.0,0.427409,False,False,Daily
PLATINUM,NZDUSD,2,0.143442,0.18217,NZDUSD,PLATINUM,0.0,0.056208,False,False,Daily
VIX,AUDUSD,4,0.038291,1.435107,AUDUSD,VIX,0.0,0.02184,True,False,Daily
EUROSTOXX50,GBPJPY,2,0.195158,0.057164,EUROSTOXX50,GBPJPY,0.0,0.320205,False,True,Daily
RUSSELL2000,NZDUSD,2,0.188346,0.146883,RUSSELL2000,NZDUSD,0.0,0.026874,True,True,Daily
GOLD,USDCHF,4,0.28065,0.079607,GOLD,USDCHF,0.0,0.76744,False,True,Daily
NASDAQ100,ASX200,5,0.471253,0.127019,NASDAQ100,ASX200,0.0,0.285481,False,True,Daily
COPPER,USDCAD,1,0.091218,0.04559,COPPER,USDCAD,0.0,0.473558,False,True,Daily
COPPER,NZDUSD,2,0.160748,0.043413,COPPER,NZDUSD,0.0,0.668337,False,True,Daily
CAC40,GBPJPY,2,0.19651,0.038154,CAC40,GBPJPY,0.0,0.593534,False,True,Daily
TY_US10Y,EURJPY,2,0.532163,0.014383,TY_US10Y,EURJPY,0.0,0.539599,False,True,Daily
DOWJONES,NZDUSD,5,0.276518,0.160342,DOWJONES,NZDUSD,0.0,0.098879,False,True,Daily
VIX,GBPJPY,4,0.033774,1.106618,GBPJPY,VIX,0.0,0.091993,False,False,Daily
NASDAQ100,GBPJPY,1,0.148268,0.08677,NASDAQ100,GBPJPY,0.0,0.01963,True,True,Daily
TY_US10Y,USDCHF,4,0.642643,0.038516,TY_US10Y,USDCHF,0.0,0.460927,False,True,Daily
NASDAQ100,NZDUSD,2,0.17724,0.080023,NASDAQ100,NZDUSD,0.0,0.155597,False,True,Daily
PLATINUM,USDSEK,2,0.117985,0.17295,USDSEK,PLATINUM,0.0,0.03424,True,False,Daily
GOLD,EURUSD,3,0.219759,0.195397,GOLD,EURUSD,0.0,0.002288,True,True,Daily
TY_US10Y,GBPJPY,5,0.76261,0.063057,TY_US10Y,GBPJPY,0.0,0.01976,True,True,Daily
GOLD,USDSEK,3,0.26014,0.137532,GOLD,USDSEK,0.0,0.01653,True,True,Daily
DAX,GBPJPY,5,0.232016,0.224367,DAX,GBPJPY,0.0,0.059758,False,True,Daily
PLATINUM,USDCAD,2,0.079373,0.146548,USDCAD,PLATINUM,0.0,0.230686,False,False,Daily
WTI_CRUDE,USDNOK,5,0.236854,0.645509,USDNOK,WTI_CRUDE,0.0,9.2e-05,True,False,Daily
COPPER,AUDJPY,2,0.170567,0.080008,COPPER,AUDJPY,0.0,0.170171,False,True,Daily
RUSSELL2000,USDNOK,5,0.594504,0.165682,RUSSELL2000,USDNOK,0.0,0.000236,True,True,Daily
SILVER,USDSEK,3,0.139395,0.196594,USDSEK,SILVER,0.0,0.18405,False,False,Daily
FTSE100,USDCAD,1,0.129929,0.03274,FTSE100,USDCAD,0.0,0.421583,False,True,Daily
SILVER,USDCAD,2,0.079623,0.111431,USDCAD,SILVER,0.0,0.407795,False,False,Daily
ZINC,AUDUSD,2,0.125013,0.148191,AUDUSD,ZINC,0.0,0.036288,True,False,Daily
CAC40,USDCAD,2,0.113415,0.116462,USDCAD,CAC40,0.0,0.128352,False,False,Daily
G_GILT,USDJPY,1,0.28788,0.004442,G_GILT,USDJPY,0.0,0.801442,False,True,Daily
EUROSTOXX50,USDCAD,2,0.106153,0.100194,EUROSTOXX50,USDCAD,0.0,0.246191,False,True,Daily
COPPER,USDSEK,1,0.117074,0.033611,COPPER,USDSEK,0.0,0.439465,False,True,Daily
PLATINUM,GBPUSD,5,0.132664,0.346847,GBPUSD,PLATINUM,0.0,0.008325,True,False,Daily
OAT_FRANCE,EURJPY,1,0.344605,0.006817,OAT_FRANCE,EURJPY,0.0,0.641172,False,True,Daily
RX_BUND,USDJPY,1,0.364393,0.011708,RX_BUND,USDJPY,0.0,0.396876,False,True,Daily
RUSSELL2000,USDSEK,2,0.156553,0.037031,RUSSELL2000,USDSEK,0.0,0.78993,False,True,Daily
BRENT_CRUDE,AUDJPY,1,0.080266,0.094802,AUDJPY,BRENT_CRUDE,0.0,0.12577,False,False,Daily
RUSSELL2000,HANGSENG,5,0.442301,0.095126,RUSSELL2000,HANGSENG,0.0,0.139957,False,True,Daily
DOWJONES,USDNOK,5,0.899058,0.227537,DOWJONES,USDNOK,0.0,0.0,True,True,Daily
VIX,HANGSENG,5,0.085695,0.811763,HANGSENG,VIX,0.0,0.009621,True,False,Daily
SP500,HANGSENG,5,0.661482,0.062746,SP500,HANGSENG,0.0,0.360673,False,True,Daily
SP500,USDNOK,5,0.872265,0.171774,SP500,USDNOK,0.0,0.0,True,True,Daily
TY_US10Y,AUDJPY,2,0.606083,0.037058,TY_US10Y,AUDJPY,0.0,0.008136,True,True,Daily
SP500,USDSEK,5,0.225009,0.129219,SP500,USDSEK,0.0,0.19557,False,True,Daily
DAX,USDCAD,2,0.09935,0.104882,USDCAD,DAX,0.0,0.133693,False,False,Daily
BRENT_CRUDE,USDNOK,5,0.220677,0.53524,USDNOK,BRENT_CRUDE,0.0,0.000312,True,False,Daily
DOWJONES,EURJPY,5,0.171645,0.118147,DOWJONES,EURJPY,0.0,0.793881,False,True,Daily
SP500,EURJPY,4,0.153596,0.124823,SP500,EURJPY,0.0,0.523765,False,True,Daily
SILVER,EURUSD,2,0.086034,0.211948,EURUSD,SILVER,0.0,0.049794,True,False,Daily
NASDAQ100,HANGSENG,5,0.482486,0.089487,NASDAQ100,HANGSENG,0.0,0.264502,False,True,Daily
PLATINUM,EURUSD,2,0.086722,0.194862,EURUSD,PLATINUM,0.0,0.055264,False,False,Daily
RUSSELL2000,GBPUSD,5,0.178578,0.267179,GBPUSD,RUSSELL2000,0.0,0.079238,False,False,Daily
SILVER,GBPUSD,2,0.103386,0.124733,GBPUSD,SILVER,0.0,0.146903,False,False,Daily
DOWJONES,HANGSENG,5,0.638929,0.066325,DOWJONES,HANGSENG,0.0,0.469128,False,True,Daily
SP500,GBPUSD,5,0.239488,0.213248,SP500,GBPUSD,0.0,0.109218,False,True,Daily
DOWJONES,USDSEK,5,0.223308,0.098224,DOWJONES,USDSEK,0.0,0.264245,False,True,Daily
COPPER,GBPUSD,1,0.093829,0.047684,COPPER,GBPUSD,0.0,0.327085,False,True,Daily
VIX,NZDUSD,4,0.030122,1.46211,NZDUSD,VIX,0.0,0.003456,True,False,Daily
WTI_CRUDE,AUDJPY,5,0.088833,0.463973,AUDJPY,WTI_CRUDE,0.0,0.004632,True,False,Daily
OAT_FRANCE,USDJPY,1,0.305582,0.015482,OAT_FRANCE,USDJPY,0.0,0.292085,False,True,Daily
EUROSTOXX50,AUDUSD,3,0.205457,0.166842,EUROSTOXX50,AUDUSD,0.0,0.028029,True,True,Daily
DOWJONES,GBPUSD,5,0.242399,0.211578,DOWJONES,GBPUSD,0.0,0.075241,False,True,Daily
DAX,AUDUSD,4,0.230252,0.185126,DAX,AUDUSD,0.0,0.072738,False,True,Daily
GOLD,GBPUSD,2,0.180863,0.104267,GOLD,GBPUSD,0.0,0.006425,True,True,Daily
ZINC,AUDJPY,2,0.123367,0.09552,ZINC,AUDJPY,0.0,0.158944,False,True,Daily
VIX,EURJPY,4,0.021274,1.159512,EURJPY,VIX,0.0,0.22718,False,False,Daily
FTSE100,AUDUSD,5,0.331734,0.217291,FTSE100,AUDUSD,0.0,0.034644,True,True,Daily
CAC40,AUDUSD,3,0.213841,0.178743,CAC40,AUDUSD,0.0,0.012075,True,True,Daily
GOLD,USDCAD,1,0.106034,0.044791,GOLD,USDCAD,0.0,0.26561,False,True,Daily
RUSSELL2000,EURJPY,2,0.093097,0.04917,RUSSELL2000,EURJPY,0.0,0.700889,False,True,Daily
NASDAQ100,USDSEK,2,0.147367,0.042649,NASDAQ100,USDSEK,0.0,0.758173,False,True,Daily
LEAD,AUDUSD,2,0.115655,0.16462,AUDUSD,LEAD,0.0,0.017914,True,False,Daily
NASDAQ100,USDNOK,5,0.562156,0.163881,NASDAQ100,USDNOK,0.0,0.000304,True,True,Daily
RX_BUND,GBPJPY,1,0.368911,0.011785,RX_BUND,GBPJPY,0.0,0.297512,False,True,Daily
ZINC,USDCAD,1,0.061399,0.121546,USDCAD,ZINC,0.0,0.073214,False,False,Daily
ZINC,NZDUSD,1,0.091923,0.074409,ZINC,NZDUSD,0.0,0.106426,False,True,Daily
SILVER,USDJPY,2,0.077406,0.149103,USDJPY,SILVER,0.0,0.212987,False,False,Daily
TY_US10Y,EURUSD,2,0.360977,0.006308,TY_US10Y,EURUSD,0.0,0.910349,False,True,Daily
TY_US10Y,NZDUSD,1,0.419187,0.022706,TY_US10Y,NZDUSD,0.0,0.019198,True,True,Daily
SILVER,USDCHF,4,0.116208,0.055646,SILVER,USDCHF,0.0,0.958063,False,True,Daily
G_GILT,EURJPY,4,0.29159,0.124192,G_GILT,EURJPY,0.0,0.001525,True,True,Daily
G_GILT,GBPJPY,5,0.421669,0.137524,G_GILT,GBPJPY,0.0,2.9e-05,True,True,Daily
EUROSTOXX50,EURGBP,5,0.197905,0.197826,EUROSTOXX50,EURGBP,0.0,0.313534,False,True,Daily
DAX,EURGBP,5,0.195008,0.243525,EURGBP,DAX,0.0,0.142776,False,False,Daily
NASDAQ100,EURJPY,1,0.086874,0.080408,NASDAQ100,EURJPY,0.0,0.075072,False,True,Daily
PLATINUM,USDCHF,5,0.115527,0.23791,USDCHF,PLATINUM,0.0,0.413714,False,False,Daily
NASDAQ100,GBPUSD,3,0.142498,0.109881,NASDAQ100,GBPUSD,0.0,0.263303,False,True,Daily
COPPER,USDNOK,3,0.317026,0.088018,COPPER,USDNOK,0.0,0.150215,False,True,Daily
COPPER,EURUSD,2,0.084323,0.122159,EURUSD,COPPER,0.0,0.296524,False,False,Daily
BRENT_CRUDE,AUDUSD,1,0.053917,0.059591,AUDUSD,BRENT_CRUDE,0.0,0.3977,False,False,Daily
EUROSTOXX50,GBPUSD,4,0.183616,0.240734,GBPUSD,EUROSTOXX50,0.0,0.02106,True,False,Daily
CAC40,EURGBP,5,0.195272,0.206679,EURGBP,CAC40,0.0,0.282157,False,False,Daily
BRENT_CRUDE,GBPJPY,1,0.056978,0.020433,BRENT_CRUDE,GBPJPY,0.0,0.75432,False,True,Daily
VIX,USDJPY,4,0.018525,0.941863,USDJPY,VIX,0.0,0.290933,False,False,Daily
SILVER,USDNOK,4,0.270858,0.106903,SILVER,USDNOK,0.0,0.420245,False,True,Daily
ZINC,USDSEK,1,0.080908,0.085291,USDSEK,ZINC,0.0,0.065669,False,False,Daily
SP500,EURGBP,5,0.183285,0.204102,EURGBP,SP500,0.0,0.21339,False,False,Daily
RUSSELL2000,EURGBP,5,0.138382,0.218505,EURGBP,RUSSELL2000,0.0,0.448284,False,False,Daily
CAC40,GBPUSD,4,0.180703,0.233933,GBPUSD,CAC40,0.0,0.024339,True,False,Daily
LEAD,USDCAD,2,0.060008,0.223122,USDCAD,LEAD,0.0,0.032299,True,False,Daily
DAX,GBPUSD,4,0.180613,0.27527,GBPUSD,DAX,0.0,0.005877,True,False,Daily
DOWJONES,EURGBP,5,0.190049,0.158753,DOWJONES,EURGBP,0.0,0.438964,False,True,Daily
WTI_CRUDE,GBPJPY,3,0.050427,0.10559,GBPJPY,WTI_CRUDE,0.0,0.735794,False,False,Daily
WTI_CRUDE,AUDUSD,5,0.064359,0.524545,AUDUSD,WTI_CRUDE,0.0,0.005744,True,False,Daily
DOWJONES,USDJPY,5,0.16568,0.120975,DOWJONES,USDJPY,0.0,0.732378,False,True,Daily
EUROSTOXX50,USDSEK,2,0.1179,0.054633,EUROSTOXX50,USDSEK,0.0,0.44882,False,True,Daily
RX_BUND,AUDJPY,1,0.32682,0.003896,RX_BUND,AUDJPY,0.0,0.716589,False,True,Daily
LEAD,NZDUSD,2,0.092499,0.145741,NZDUSD,LEAD,0.0,0.037098,True,False,Daily
PLATINUM,USDJPY,5,0.087778,0.370774,USDJPY,PLATINUM,0.0,0.078058,False,False,Daily
EUROSTOXX50,NZDUSD,3,0.159371,0.168525,NZDUSD,EUROSTOXX50,0.0,0.016259,True,False,Daily
TY_US10Y,USDSEK,1,0.345739,0.010135,TY_US10Y,USDSEK,0.0,0.300842,False,True,Daily
CAC40,USDSEK,2,0.1155,0.066442,CAC40,USDSEK,0.0,0.339974,False,True,Daily
FTSE100,GBPJPY,3,0.151297,0.111532,FTSE100,GBPJPY,0.0,0.030295,True,True,Daily
SP500,USDJPY,4,0.144251,0.057226,SP500,USDJPY,0.0,0.940487,False,True,Daily
DAX,NZDUSD,3,0.155435,0.180146,NZDUSD,DAX,0.0,0.004781,True,False,Daily
EUROSTOXX50,EURJPY,2,0.08943,0.099177,EURJPY,EUROSTOXX50,0.0,0.063389,False,False,Daily
PLATINUM,AUDJPY,2,0.087198,0.088267,AUDJPY,PLATINUM,0.0,0.383831,False,False,Daily
CAC40,EURJPY,2,0.090357,0.100384,EURJPY,CAC40,0.0,0.117052,False,False,Daily
FTSE100,USDNOK,5,0.622566,0.25829,FTSE100,USDNOK,0.0,0.0,True,True,Daily
LEAD,AUDJPY,2,0.107211,0.111174,AUDJPY,LEAD,0.0,0.064217,False,False,Daily
EUROSTOXX50,USDJPY,2,0.100489,0.049042,EUROSTOXX50,USDJPY,0.0,0.490093,False,True,Daily
CAC40,NZDUSD,3,0.167302,0.167965,NZDUSD,CAC40,0.0,0.015056,True,False,Daily
CAC40,USDJPY,2,0.101253,0.060939,CAC40,USDJPY,0.0,0.473972,False,True,Daily
NASDAQ100,EURGBP,4,0.108842,0.227602,EURGBP,NASDAQ100,0.0,0.173027,False,False,Daily
DAX,USDSEK,2,0.10949,0.047447,DAX,USDSEK,0.0,0.53422,False,True,Daily
PLATINUM,USDNOK,5,0.312642,0.259101,PLATINUM,USDNOK,0.0,0.000148,True,True,Daily
OAT_FRANCE,GBPJPY,2,0.359871,0.020184,OAT_FRANCE,GBPJPY,0.0,0.483955,False,True,Daily
GOLD,USDNOK,4,0.470426,0.086617,GOLD,USDNOK,0.0,0.005802,True,True,Daily
FTSE100,EURJPY,1,0.098856,0.001674,FTSE100,EURJPY,0.0,0.958009,False,True,Daily
COPPER,GBPJPY,1,0.075231,0.043629,COPPER,GBPJPY,0.0,0.286174,False,True,Daily
FTSE100,USDSEK,1,0.11116,0.019908,FTSE100,USDSEK,0.0,0.472805,False,True,Daily
VIX,USDSEK,2,0.016201,0.360046,USDSEK,VIX,0.0,0.332782,False,False,Daily
G_GILT,AUDJPY,3,0.276907,0.050328,G_GILT,AUDJPY,0.0,0.168953,False,True,Daily
VIX,GBPUSD,2,0.014606,0.7394,GBPUSD,VIX,0.0,0.035866,True,False,Daily
LEAD,USDSEK,2,0.081337,0.137438,USDSEK,LEAD,0.0,0.039397,True,False,Daily
FTSE100,NZDUSD,2,0.136929,0.075196,FTSE100,NZDUSD,0.0,0.030227,True,True,Daily
ZINC,GBPUSD,1,0.056617,0.052729,ZINC,GBPUSD,0.0,0.310592,False,True,Daily
WTI_CRUDE,ASX200,5,0.105208,0.569842,ASX200,WTI_CRUDE,0.0,2.2e-05,True,False,Daily
DAX,USDJPY,2,0.09186,0.111216,USDJPY,DAX,0.0,0.10686,False,False,Daily
FTSE100,USDJPY,3,0.129606,0.146238,USDJPY,FTSE100,0.0,0.053028,False,False,Daily
LEAD,EURUSD,2,0.053511,0.133663,EURUSD,LEAD,0.0,0.138881,False,False,Daily
VIX,USDNOK,5,0.065017,0.52788,USDNOK,VIX,0.0,0.379914,False,False,Daily
DAX,EURJPY,2,0.073869,0.080286,EURJPY,DAX,0.0,0.147393,False,False,Daily
