Asset1,Asset2,Correlation,AbsCorr
AUDJPY,NIKKEI225,0.6039,0.6039
GBPJPY,NIKKEI225,0.4859,0.4859
AUDUSD,HANGSENG,0.4768,0.4768
AUDUSD,RUSSELL2000,0.4681,0.4681
AUDUSD,SP500,0.4551,0.4551
AUDUSD,DOWJONES,0.4522,0.4522
AUDJPY,RUSSELL2000,0.4348,0.4348
AUDUSD,COPPER,0.4287,0.4287
COPPER,HANGSENG,0.4282,0.4282
AUDJPY,HANGSENG,0.4267,0.4267
AUDUSD,SILVER,0.4238,0.4238
AUDUSD,PLATINUM,0.4236,0.4236
AUDJPY,CAC40,0.4232,0.4232
AUDJPY,DOWJONES,0.4222,0.4222
AUDJPY,EUROSTOXX50,0.4198,0.4198
AUDJPY,DAX,0.4175,0.4175
AUDJPY,SP500,0.416,0.416
EURJPY,NIKKEI225,0.4143,0.4143
TY_US10Y,USDJPY,-0.4137,0.4137
BRENT_CRUDE,ASX200,0.4101,0.4101
AUDJPY,FTSE100,0.3936,0.3936
ZINC,HANGSENG,0.3914,0.3914
GOLD,USDCHF,-0.3908,0.3908
USDCAD,DOWJONES,-0.3887,0.3887
WTI_CRUDE,ASX200,0.3882,0.3882
USDCAD,RUSSELL2000,-0.3835,0.3835
PLATINUM,USDCAD,-0.379,0.379
USDCAD,HANGSENG,-0.3771,0.3771
AUDUSD,NASDAQ100,0.3724,0.3724
USDCAD,SP500,-0.3717,0.3717
NZDUSD,SILVER,0.3707,0.3707
ZINC,AUDUSD,0.3697,0.3697
NZDUSD,HANGSENG,0.369,0.369
NZDUSD,RUSSELL2000,0.3664,0.3664
COPPER,NZDUSD,0.3655,0.3655
PLATINUM,RUSSELL2000,0.3621,0.3621
COPPER,RUSSELL2000,0.3602,0.3602
PLATINUM,DOWJONES,0.3594,0.3594
GOLD,USDJPY,-0.3587,0.3587
NZDUSD,PLATINUM,0.3587,0.3587
COPPER,DOWJONES,0.3583,0.3583
NZDUSD,SP500,0.3578,0.3578
COPPER,SP500,0.3573,0.3573
AUDUSD,NIKKEI225,0.3556,0.3556
BRENT_CRUDE,FTSE100,0.3523,0.3523
NZDUSD,DOWJONES,0.3497,0.3497
AUDUSD,GOLD,0.3473,0.3473
RX_BUND,EURJPY,-0.3469,0.3469
PLATINUM,SP500,0.3465,0.3465
USDJPY,NIKKEI225,0.3457,0.3457
G_GILT,USDJPY,-0.3433,0.3433
USDSEK,HANGSENG,-0.342,0.342
COPPER,USDCAD,-0.3399,0.3399
AUDJPY,ASX200,0.339,0.339
SILVER,USDCAD,-0.3367,0.3367
PLATINUM,FTSE100,0.3362,0.3362
LEAD,AUDUSD,0.3351,0.3351
AUDJPY,VIX,-0.3337,0.3337
EURUSD,GOLD,0.3336,0.3336
ZINC,NZDUSD,0.3295,0.3295
AUDUSD,ASX200,0.3291,0.3291
AUDJPY,NASDAQ100,0.3286,0.3286
AUDUSD,DAX,0.3278,0.3278
SILVER,SP500,0.3271,0.3271
GOLD,NZDUSD,0.3254,0.3254
COPPER,VIX,-0.3228,0.3228
USDCAD,ASX200,-0.3216,0.3216
TY_US10Y,GOLD,0.3192,0.3192
SILVER,USDCHF,-0.3185,0.3185
WTI_CRUDE,FTSE100,0.3183,0.3183
SILVER,RUSSELL2000,0.3161,0.3161
AUDJPY,COPPER,0.3149,0.3149
BRENT_CRUDE,RUSSELL2000,0.3142,0.3142
AUDUSD,EUROSTOXX50,0.3134,0.3134
AUDUSD,CAC40,0.3126,0.3126
SILVER,DOWJONES,0.3123,0.3123
GBPUSD,SP500,0.311,0.311
COPPER,CAC40,0.3109,0.3109
RX_BUND,USDJPY,-0.3101,0.3101
AUDUSD,FTSE100,0.3096,0.3096
GBPUSD,DOWJONES,0.3094,0.3094
GOLD,USDCAD,-0.3093,0.3093
COPPER,USDSEK,-0.309,0.309
WTI_CRUDE,RUSSELL2000,0.3059,0.3059
BRENT_CRUDE,DOWJONES,0.3057,0.3057
TY_US10Y,EURJPY,-0.3056,0.3056
COPPER,ASX200,0.304,0.304
COPPER,FTSE100,0.3027,0.3027
COPPER,NASDAQ100,0.3015,0.3015
G_GILT,EURJPY,-0.3012,0.3012
EURUSD,PLATINUM,0.3007,0.3007
PLATINUM,HANGSENG,0.2995,0.2995
BRENT_CRUDE,SP500,0.2994,0.2994
COPPER,NIKKEI225,0.299,0.299
GBPUSD,RUSSELL2000,0.2977,0.2977
WTI_CRUDE,USDCAD,-0.2973,0.2973
COPPER,DAX,0.2972,0.2972
EURUSD,SILVER,0.2964,0.2964
ZINC,SP500,0.2958,0.2958
OAT_FRANCE,EURJPY,-0.2941,0.2941
WTI_CRUDE,DOWJONES,0.294,0.294
PLATINUM,ASX200,0.2936,0.2936
PLATINUM,DAX,0.2925,0.2925
LEAD,HANGSENG,0.2922,0.2922
COPPER,EUROSTOXX50,0.2916,0.2916
BRENT_CRUDE,USDCAD,-0.2911,0.2911
PLATINUM,USDSEK,-0.2908,0.2908
NZDUSD,NASDAQ100,0.2901,0.2901
ZINC,AUDJPY,0.2897,0.2897
GBPUSD,HANGSENG,0.2895,0.2895
ZINC,NASDAQ100,0.2872,0.2872
WTI_CRUDE,SP500,0.287,0.287
ZINC,RUSSELL2000,0.2861,0.2861
LEAD,NZDUSD,0.2854,0.2854
GBPUSD,PLATINUM,0.2849,0.2849
GBPJPY,DAX,0.2844,0.2844
GBPUSD,COPPER,0.2837,0.2837
GBPJPY,CAC40,0.2825,0.2825
ZINC,USDCAD,-0.2821,0.2821
EURUSD,COPPER,0.2807,0.2807
SILVER,USDSEK,-0.2798,0.2798
G_GILT,GBPJPY,-0.2787,0.2787
USDCAD,NIKKEI225,-0.2777,0.2777
BRENT_CRUDE,EUROSTOXX50,0.2775,0.2775
GBPJPY,EUROSTOXX50,0.2774,0.2774
PLATINUM,EUROSTOXX50,0.2767,0.2767
GBPJPY,DOWJONES,0.2762,0.2762
USDSEK,RUSSELL2000,-0.275,0.275
GOLD,USDSEK,-0.2744,0.2744
PLATINUM,CAC40,0.2735,0.2735
USDCAD,NASDAQ100,-0.2726,0.2726
BRENT_CRUDE,CAC40,0.2722,0.2722
OAT_FRANCE,USDJPY,-0.2714,0.2714
GBPUSD,SILVER,0.2699,0.2699
TY_US10Y,AUDJPY,-0.2692,0.2692
GBPJPY,SP500,0.2689,0.2689
PLATINUM,USDCHF,-0.2685,0.2685
USDSEK,SP500,-0.2664,0.2664
PLATINUM,NASDAQ100,0.2655,0.2655
SILVER,FTSE100,0.2648,0.2648
BRENT_CRUDE,VIX,-0.2648,0.2648
USDCAD,CAC40,-0.2639,0.2639
USDCAD,DAX,-0.2627,0.2627
SILVER,NASDAQ100,0.2621,0.2621
ZINC,DOWJONES,0.2619,0.2619
GBPJPY,RUSSELL2000,0.2615,0.2615
LEAD,AUDJPY,0.2611,0.2611
AUDUSD,VIX,-0.2608,0.2608
TY_US10Y,GBPJPY,-0.2607,0.2607
BRENT_CRUDE,DAX,0.2607,0.2607
GBPJPY,ASX200,0.2606,0.2606
GBPUSD,ASX200,0.2596,0.2596
USDCAD,FTSE100,-0.2578,0.2578
EURGBP,ASX200,-0.2576,0.2576
WTI_CRUDE,VIX,-0.2575,0.2575
USDCAD,EUROSTOXX50,-0.2563,0.2563
ZINC,USDSEK,-0.2558,0.2558
ZINC,ASX200,0.2557,0.2557
AUDJPY,BRENT_CRUDE,0.2527,0.2527
ZINC,FTSE100,0.2522,0.2522
GBPUSD,NASDAQ100,0.2515,0.2515
GBPUSD,GOLD,0.2509,0.2509
SILVER,HANGSENG,0.249,0.249
SILVER,USDJPY,-0.2486,0.2486
ZINC,NIKKEI225,0.2483,0.2483
LEAD,RUSSELL2000,0.2482,0.2482
ZINC,VIX,-0.248,0.248
PLATINUM,NIKKEI225,0.2476,0.2476
EURGBP,NIKKEI225,-0.2461,0.2461
USDSEK,DOWJONES,-0.2458,0.2458
SILVER,ASX200,0.2428,0.2428
GBPJPY,HANGSENG,0.2428,0.2428
LEAD,USDSEK,-0.241,0.241
ZINC,CAC40,0.2385,0.2385
LEAD,USDCAD,-0.2377,0.2377
NZDUSD,DAX,0.2373,0.2373
WTI_CRUDE,EUROSTOXX50,0.2368,0.2368
ZINC,EUROSTOXX50,0.2361,0.2361
GBPUSD,NIKKEI225,0.2359,0.2359
USDSEK,NASDAQ100,-0.2348,0.2348
NZDUSD,CAC40,0.2344,0.2344
PLATINUM,VIX,-0.2323,0.2323
NZDUSD,EUROSTOXX50,0.2306,0.2306
EURUSD,HANGSENG,0.2303,0.2303
RX_BUND,AUDJPY,-0.2297,0.2297
WTI_CRUDE,CAC40,0.2294,0.2294
NZDUSD,ASX200,0.2289,0.2289
LEAD,EURUSD,0.2287,0.2287
LEAD,SP500,0.2279,0.2279
BRENT_CRUDE,NIKKEI225,0.227,0.227
ZINC,DAX,0.2261,0.2261
BRENT_CRUDE,HANGSENG,0.2256,0.2256
NZDUSD,NIKKEI225,0.2246,0.2246
SILVER,EUROSTOXX50,0.2235,0.2235
SILVER,DAX,0.2231,0.2231
LEAD,DOWJONES,0.2221,0.2221
WTI_CRUDE,DAX,0.2213,0.2213
EURUSD,SP500,0.2207,0.2207
EURUSD,DOWJONES,0.2199,0.2199
TY_US10Y,USDCHF,-0.2193,0.2193
AUDJPY,WTI_CRUDE,0.2169,0.2169
LEAD,GBPUSD,0.2167,0.2167
EURGBP,DAX,-0.2167,0.2167
ZINC,GBPUSD,0.2162,0.2162
BRENT_CRUDE,NASDAQ100,0.2151,0.2151
EURJPY,CAC40,0.2135,0.2135
USDCAD,VIX,0.2129,0.2129
EURUSD,RUSSELL2000,0.2125,0.2125
WTI_CRUDE,NIKKEI225,0.2117,0.2117
AUDJPY,PLATINUM,0.2115,0.2115
LEAD,NIKKEI225,0.2115,0.2115
AUDUSD,BRENT_CRUDE,0.2108,0.2108
EURJPY,DOWJONES,0.2103,0.2103
RX_BUND,GOLD,0.2098,0.2098
G_GILT,GOLD,0.2097,0.2097
WTI_CRUDE,HANGSENG,0.2093,0.2093
AUDUSD,WTI_CRUDE,0.2087,0.2087
USDNOK,HANGSENG,-0.2087,0.2087
LEAD,ASX200,0.2079,0.2079
LEAD,CAC40,0.2069,0.2069
PLATINUM,USDJPY,-0.2066,0.2066
SILVER,CAC40,0.206,0.206
WTI_CRUDE,NASDAQ100,0.2058,0.2058
GBPJPY,NASDAQ100,0.2056,0.2056
RX_BUND,GBPJPY,-0.2017,0.2017
EURJPY,SP500,0.1999,0.1999
EURJPY,HANGSENG,0.199,0.199
EURJPY,EUROSTOXX50,0.1977,0.1977
EURJPY,RUSSELL2000,0.1964,0.1964
LEAD,NASDAQ100,0.1964,0.1964
ZINC,EURUSD,0.1959,0.1959
BRENT_CRUDE,GBPJPY,0.1958,0.1958
NZDUSD,FTSE100,0.1955,0.1955
LEAD,EUROSTOXX50,0.1955,0.1955
USDSEK,CAC40,-0.1947,0.1947
USDSEK,DAX,-0.1944,0.1944
LEAD,FTSE100,0.1932,0.1932
OAT_FRANCE,AUDJPY,-0.1928,0.1928
USDSEK,EUROSTOXX50,-0.1924,0.1924
GBPUSD,DAX,0.1912,0.1912
G_GILT,AUDJPY,-0.1897,0.1897
SILVER,VIX,-0.1885,0.1885
EURGBP,EUROSTOXX50,-0.1872,0.1872
GBPJPY,VIX,-0.1851,0.1851
OAT_FRANCE,GBPJPY,-0.1838,0.1838
LEAD,VIX,-0.1831,0.1831
EURCHF,NIKKEI225,0.1826,0.1826
EURJPY,DAX,0.1822,0.1822
LEAD,DAX,0.1783,0.1783
TY_US10Y,BRENT_CRUDE,-0.177,0.177
AUDJPY,SILVER,0.1763,0.1763
NZDUSD,VIX,-0.1758,0.1758
EURGBP,CAC40,-0.1749,0.1749
EURUSD,NASDAQ100,0.1744,0.1744
BRENT_CRUDE,USDNOK,-0.1733,0.1733
EURGBP,SP500,-0.1717,0.1717
TY_US10Y,WTI_CRUDE,-0.1714,0.1714
AUDJPY,NAT_GAS,0.1711,0.1711
USDJPY,CAC40,0.1709,0.1709
USDSEK,ASX200,-0.1707,0.1707
EURGBP,DOWJONES,-0.1701,0.1701
SILVER,NIKKEI225,0.1692,0.1692
GBPJPY,COPPER,0.1675,0.1675
GBPUSD,CAC40,0.1664,0.1664
USDJPY,EUROSTOXX50,0.1664,0.1664
GBPUSD,EUROSTOXX50,0.1646,0.1646
BRENT_CRUDE,EURGBP,-0.1637,0.1637
EURJPY,VIX,-0.1634,0.1634
TY_US10Y,VIX,0.162,0.162
EURGBP,RUSSELL2000,-0.1616,0.1616
WTI_CRUDE,GBPJPY,0.1586,0.1586
BRENT_CRUDE,GBPUSD,0.1568,0.1568
EURCHF,GOLD,-0.1564,0.1564
USDSEK,NIKKEI225,-0.1554,0.1554
ZINC,USDNOK,-0.1554,0.1554
USDSEK,VIX,0.1552,0.1552
COPPER,USDCHF,-0.155,0.155
WTI_CRUDE,GBPUSD,0.1535,0.1535
EURJPY,COPPER,0.1527,0.1527
TY_US10Y,SILVER,0.1524,0.1524
TY_US10Y,CAC40,-0.1518,0.1518
LEAD,USDNOK,-0.1515,0.1515
LEAD,EURJPY,0.1515,0.1515
RX_BUND,EURCHF,-0.1513,0.1513
TY_US10Y,NIKKEI225,-0.1509,0.1509
G_GILT,BRENT_CRUDE,-0.1486,0.1486
G_GILT,WTI_CRUDE,-0.1481,0.1481
GOLD,HANGSENG,0.1478,0.1478
USDJPY,DAX,0.1473,0.1473
EURCHF,VIX,-0.1469,0.1469
TY_US10Y,DAX,-0.1469,0.1469
TY_US10Y,EUROSTOXX50,-0.146,0.146
USDSEK,FTSE100,-0.1455,0.1455
EURJPY,FTSE100,0.1454,0.1454
EURGBP,NASDAQ100,-0.1441,0.1441
LEAD,GBPJPY,0.1435,0.1435
LEAD,USDCHF,-0.1432,0.1432
EURJPY,NASDAQ100,0.1426,0.1426
TY_US10Y,EURUSD,0.1422,0.1422
GOLD,SP500,0.1397,0.1397
WTI_CRUDE,EURGBP,-0.1387,0.1387
ZINC,GBPJPY,0.1382,0.1382
COPPER,USDNOK,-0.1377,0.1377
BRENT_CRUDE,NZDUSD,0.1372,0.1372
OAT_FRANCE,GOLD,0.137,0.137
WTI_CRUDE,NZDUSD,0.1369,0.1369
TY_US10Y,NZDUSD,0.1367,0.1367
USDNOK,VIX,0.1362,0.1362
GOLD,RUSSELL2000,0.1351,0.1351
TY_US10Y,EURCHF,-0.1347,0.1347
EURGBP,HANGSENG,-0.1332,0.1332
USDJPY,FTSE100,0.1325,0.1325
GOLD,DOWJONES,0.1292,0.1292
ZINC,USDCHF,-0.1289,0.1289
NAT_GAS,HANGSENG,0.1266,0.1266
G_GILT,NZDUSD,0.1263,0.1263
NAT_GAS,NIKKEI225,0.1253,0.1253
OAT_FRANCE,NASDAQ100,0.1251,0.1251
TY_US10Y,USDSEK,-0.1248,0.1248
USDNOK,EUROSTOXX50,-0.1239,0.1239
NAT_GAS,SP500,0.1221,0.1221
USDJPY,VIX,-0.1195,0.1195
NAT_GAS,DOWJONES,0.1195,0.1195
USDNOK,CAC40,-0.1193,0.1193
G_GILT,SILVER,0.119,0.119
G_GILT,USDCHF,-0.1162,0.1162
EURJPY,ASX200,0.1157,0.1157
OAT_FRANCE,WTI_CRUDE,-0.1141,0.1141
ZINC,EURJPY,0.1139,0.1139
GBPJPY,NAT_GAS,0.1127,0.1127
BRENT_CRUDE,EURJPY,0.1108,0.1108
OAT_FRANCE,EURCHF,-0.1105,0.1105
RX_BUND,EURGBP,-0.1098,0.1098
TY_US10Y,FTSE100,-0.1085,0.1085
NAT_GAS,RUSSELL2000,0.1082,0.1082
GOLD,FTSE100,0.1071,0.1071
OAT_FRANCE,BRENT_CRUDE,-0.106,0.106
AUDUSD,NAT_GAS,0.106,0.106
EURCHF,HANGSENG,0.1052,0.1052
RX_BUND,NASDAQ100,0.1052,0.1052
EURCHF,SILVER,-0.1052,0.1052
TY_US10Y,DOWJONES,-0.105,0.105
EURJPY,NAT_GAS,0.1039,0.1039
G_GILT,NASDAQ100,0.1031,0.1031
GBPJPY,FTSE100,0.1025,0.1025
USDCHF,HANGSENG,-0.1024,0.1024
GBPUSD,VIX,-0.1022,0.1022
EURCHF,ASX200,0.102,0.102
G_GILT,AUDUSD,0.1016,0.1016
USDCHF,SP500,-0.1012,0.1012
EURCHF,DOWJONES,0.1,0.1
RX_BUND,USDCHF,-0.0997,0.0997
OAT_FRANCE,SP500,0.0988,0.0988
EURCHF,RUSSELL2000,0.0982,0.0982
USDCHF,DOWJONES,-0.0982,0.0982
GOLD,NASDAQ100,0.0978,0.0978
USDCHF,RUSSELL2000,-0.0977,0.0977
BRENT_CRUDE,USDSEK,-0.0972,0.0972
EURCHF,SP500,0.097,0.097
USDCHF,NIKKEI225,0.0969,0.0969
EURCHF,COPPER,0.0954,0.0954
BRENT_CRUDE,EURCHF,0.0953,0.0953
TY_US10Y,GBPUSD,0.0944,0.0944
WTI_CRUDE,USDNOK,-0.094,0.094
RX_BUND,ASX200,0.094,0.094
USDNOK,DAX,-0.0928,0.0928
GOLD,ASX200,0.0919,0.0919
COPPER,USDJPY,-0.0913,0.0913
OAT_FRANCE,ASX200,0.0913,0.0913
WTI_CRUDE,USDSEK,-0.0906,0.0906
NAT_GAS,USDJPY,0.0899,0.0899
EURGBP,VIX,0.086,0.086
NAT_GAS,NASDAQ100,0.0858,0.0858
G_GILT,SP500,0.0854,0.0854
RX_BUND,SILVER,0.0845,0.0845
EURCHF,NASDAQ100,0.0842,0.0842
WTI_CRUDE,EURJPY,0.0842,0.0842
RX_BUND,USDNOK,0.0838,0.0838
G_GILT,PLATINUM,0.0834,0.0834
NAT_GAS,USDCAD,-0.0831,0.0831
G_GILT,USDSEK,-0.0828,0.0828
RX_BUND,WTI_CRUDE,-0.0827,0.0827
RX_BUND,BRENT_CRUDE,-0.0826,0.0826
GOLD,USDNOK,-0.0824,0.0824
TY_US10Y,RUSSELL2000,-0.0814,0.0814
GBPJPY,GOLD,-0.0814,0.0814
USDNOK,FTSE100,-0.0812,0.0812
EURCHF,FTSE100,0.0808,0.0808
TY_US10Y,USDCAD,-0.0806,0.0806
G_GILT,EURCHF,-0.0806,0.0806
TY_US10Y,SP500,-0.0797,0.0797
TY_US10Y,AUDUSD,0.0796,0.0796
USDCHF,VIX,-0.0795,0.0795
OAT_FRANCE,USDCHF,-0.0786,0.0786
EURJPY,GOLD,-0.0771,0.0771
TY_US10Y,COPPER,-0.0756,0.0756
EURUSD,ASX200,0.0754,0.0754
BRENT_CRUDE,USDJPY,0.0752,0.0752
NAT_GAS,VIX,-0.0743,0.0743
RX_BUND,VIX,0.0738,0.0738
USDCHF,NASDAQ100,-0.0737,0.0737
EURCHF,CAC40,0.0734,0.0734
OAT_FRANCE,EURGBP,-0.0732,0.0732
GBPJPY,PLATINUM,0.073,0.073
EURCHF,DAX,0.0727,0.0727
ZINC,EURGBP,-0.0726,0.0726
NAT_GAS,ASX200,0.0717,0.0717
NAT_GAS,NZDUSD,0.0711,0.0711
OAT_FRANCE,SILVER,0.0709,0.0709
OAT_FRANCE,DOWJONES,0.0702,0.0702
G_GILT,NAT_GAS,-0.07,0.07
OAT_FRANCE,USDNOK,0.0692,0.0692
OAT_FRANCE,NZDUSD,0.0691,0.0691
G_GILT,DOWJONES,0.0688,0.0688
EURGBP,COPPER,-0.0684,0.0684
RX_BUND,SP500,0.068,0.068
RX_BUND,COPPER,-0.0678,0.0678
G_GILT,ASX200,0.0671,0.0671
G_GILT,EURUSD,0.0666,0.0666
RX_BUND,NIKKEI225,-0.0664,0.0664
RX_BUND,DAX,-0.0661,0.0661
RX_BUND,NZDUSD,0.0655,0.0655
EURCHF,EUROSTOXX50,0.0647,0.0647
OAT_FRANCE,RUSSELL2000,0.0646,0.0646
TY_US10Y,USDNOK,-0.0644,0.0644
G_GILT,USDCAD,-0.0643,0.0643
G_GILT,EURGBP,0.0639,0.0639
NAT_GAS,USDSEK,-0.0638,0.0638
OAT_FRANCE,COPPER,-0.0637,0.0637
RX_BUND,GBPUSD,0.0632,0.0632
RX_BUND,EUROSTOXX50,-0.063,0.063
G_GILT,LEAD,-0.0629,0.0629
SILVER,USDNOK,-0.0628,0.0628
RX_BUND,HANGSENG,-0.0619,0.0619
RX_BUND,CAC40,-0.0598,0.0598
TY_US10Y,PLATINUM,0.0598,0.0598
EURUSD,NIKKEI225,0.0595,0.0595
G_GILT,RUSSELL2000,0.0591,0.0591
WTI_CRUDE,EURCHF,0.0582,0.0582
WTI_CRUDE,EURUSD,0.0577,0.0577
USDNOK,DOWJONES,0.0571,0.0571
ZINC,USDJPY,-0.056,0.056
OAT_FRANCE,CAC40,0.054,0.054
LEAD,EURCHF,0.0532,0.0532
G_GILT,NIKKEI225,-0.0526,0.0526
EURGBP,PLATINUM,-0.0517,0.0517
G_GILT,FTSE100,0.0515,0.0515
EURJPY,PLATINUM,0.0513,0.0513
LEAD,USDJPY,-0.0511,0.0511
TY_US10Y,NAT_GAS,-0.0507,0.0507
RX_BUND,NAT_GAS,-0.0494,0.0494
USDCHF,FTSE100,0.0493,0.0493
USDJPY,ASX200,0.0477,0.0477
G_GILT,COPPER,-0.0476,0.0476
OAT_FRANCE,GBPUSD,0.0466,0.0466
EURUSD,VIX,-0.0457,0.0457
USDNOK,ASX200,-0.0456,0.0456
OAT_FRANCE,EUROSTOXX50,0.0455,0.0455
EURGBP,NAT_GAS,-0.0452,0.0452
GOLD,DAX,0.0447,0.0447
G_GILT,HANGSENG,-0.0447,0.0447
GBPUSD,NAT_GAS,0.0442,0.0442
TY_US10Y,ZINC,-0.0429,0.0429
PLATINUM,USDNOK,-0.0429,0.0429
BRENT_CRUDE,USDCHF,0.0429,0.0429
OAT_FRANCE,DAX,0.0426,0.0426
ZINC,EURCHF,0.0408,0.0408
EURUSD,CAC40,0.0408,0.0408
RX_BUND,DOWJONES,0.0405,0.0405
OAT_FRANCE,LEAD,-0.0389,0.0389
RX_BUND,USDCAD,-0.0383,0.0383
BRENT_CRUDE,EURUSD,0.038,0.038
EURGBP,SILVER,-0.0379,0.0379
LEAD,EURGBP,-0.0377,0.0377
TY_US10Y,NASDAQ100,-0.037,0.037
OAT_FRANCE,HANGSENG,-0.0369,0.0369
GOLD,EUROSTOXX50,0.0358,0.0358
EURCHF,PLATINUM,-0.0352,0.0352
NAT_GAS,CAC40,0.0347,0.0347
RX_BUND,PLATINUM,0.0347,0.0347
OAT_FRANCE,VIX,0.0345,0.0345
NAT_GAS,DAX,0.0342,0.0342
USDNOK,RUSSELL2000,-0.0341,0.0341
TY_US10Y,ASX200,-0.0339,0.0339
OAT_FRANCE,AUDUSD,0.0337,0.0337
RX_BUND,USDSEK,0.0334,0.0334
EURUSD,DAX,0.0331,0.0331
WTI_CRUDE,USDJPY,0.033,0.033
TY_US10Y,HANGSENG,-0.0315,0.0315
NAT_GAS,FTSE100,0.0313,0.0313
OAT_FRANCE,USDCAD,-0.0309,0.0309
USDCHF,DAX,0.0308,0.0308
RX_BUND,RUSSELL2000,0.0295,0.0295
NAT_GAS,EUROSTOXX50,0.029,0.029
OAT_FRANCE,NAT_GAS,-0.029,0.029
TY_US10Y,EURGBP,0.0288,0.0288
USDCHF,EUROSTOXX50,0.0288,0.0288
TY_US10Y,LEAD,-0.0285,0.0285
EURGBP,GOLD,0.0283,0.0283
EURUSD,EUROSTOXX50,0.0281,0.0281
RX_BUND,AUDUSD,0.0278,0.0278
EURGBP,FTSE100,0.0257,0.0257
GBPJPY,SILVER,0.0256,0.0256
RX_BUND,EURUSD,-0.0253,0.0253
USDCHF,CAC40,0.0244,0.0244
OAT_FRANCE,USDSEK,0.024,0.024
GOLD,CAC40,0.0235,0.0235
USDNOK,NASDAQ100,-0.0233,0.0233
OAT_FRANCE,FTSE100,0.0233,0.0233
G_GILT,VIX,0.0219,0.0219
RX_BUND,FTSE100,-0.0197,0.0197
OAT_FRANCE,PLATINUM,0.0191,0.0191
EURCHF,NAT_GAS,0.0188,0.0188
G_GILT,USDNOK,0.0187,0.0187
AUDJPY,GOLD,0.0176,0.0176
RX_BUND,ZINC,-0.0169,0.0169
USDCHF,ASX200,0.0165,0.0165
USDJPY,DOWJONES,0.0152,0.0152
USDNOK,NIKKEI225,-0.0127,0.0127
G_GILT,CAC40,-0.0127,0.0127
EURUSD,FTSE100,0.0124,0.0124
OAT_FRANCE,EURUSD,-0.0109,0.0109
USDJPY,NASDAQ100,-0.0107,0.0107
EURUSD,NAT_GAS,0.0101,0.0101
USDJPY,RUSSELL2000,0.01,0.01
G_GILT,DAX,-0.01,0.01
GOLD,VIX,0.0095,0.0095
OAT_FRANCE,ZINC,-0.0079,0.0079
GBPUSD,FTSE100,-0.0077,0.0077
USDNOK,SP500,0.0064,0.0064
USDJPY,HANGSENG,-0.0063,0.0063
G_GILT,EUROSTOXX50,-0.0057,0.0057
OAT_FRANCE,NIKKEI225,0.0051,0.0051
G_GILT,GBPUSD,0.0048,0.0048
USDJPY,SP500,0.0047,0.0047
NAT_GAS,USDCHF,0.0046,0.0046
EURJPY,SILVER,0.0044,0.0044
G_GILT,ZINC,-0.0043,0.0043
RX_BUND,LEAD,0.0033,0.0033
NAT_GAS,USDNOK,0.003,0.003
WTI_CRUDE,USDCHF,-0.0027,0.0027
GOLD,NIKKEI225,0.0017,0.0017
